LLM,Retriever,Submitted By,Scaffold,Accuracy (%),Recall (%),Search Calls,Calibration Error (%),Model Size (B),Open Weights?,LLM Link,Retriever Link,Evaluation Date,Submittor Link,Accuracy (GPT-4.1 Judge)
SearchR1-32B,Qwen3-Embed-4B,BrowseComp-Plus,,9.28,7.90,1.68,-,32,Yes,https://arxiv.org/abs/2505.15117,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,9.40
SearchR1-32B,Qwen3-Embed-8B,BrowseComp-Plus,,11.08,10.17,1.69,-,32,Yes,https://arxiv.org/abs/2505.15117,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,10.36
SearchR1-32B,ReasonIR,BrowseComp-Plus,,9.31,8.37,1.74,-,32,Yes,https://arxiv.org/abs/2505.15117,https://arxiv.org/abs/2504.20595,"Aug 8, 2025",,9.43
oss-20b-low,BM25,BrowseComp-Plus,,3.99,5.36,1.89,41.56,20,Yes,https://openai.com/index/introducing-gpt-oss/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,4.11
oss-20b-low,Qwen3-Embed-8B,BrowseComp-Plus,,14.10,17.37,1.87,36.17,20,Yes,https://openai.com/index/introducing-gpt-oss/,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,13.37
oss-20b-medium,BM25,BrowseComp-Plus,,16.87,21.96,13.72,41.19,20,Yes,https://openai.com/index/introducing-gpt-oss/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,16.39
oss-20b-medium,Qwen3-Embed-8B,BrowseComp-Plus,,30.48,41.31,13.64,35.49,20,Yes,https://openai.com/index/introducing-gpt-oss/,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,29.88
oss-20b-high,BM25,BrowseComp-Plus,,21.45,31.98,26.87,33.08,20,Yes,https://openai.com/index/introducing-gpt-oss/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,21.08
oss-20b-high,Qwen3-Embed-8B,BrowseComp-Plus,,35.06,49.29,23.87,27.69,20,Yes,https://openai.com/index/introducing-gpt-oss/,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,34.58
oss-120b-low,BM25,BrowseComp-Plus,,9.76,8.54,2.06,43.70,120,Yes,https://openai.com/index/introducing-gpt-oss/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,9.52
oss-120b-low,Qwen3-Embed-8B,BrowseComp-Plus,,25.54,22.50,2.21,40.37,120,Yes,https://openai.com/index/introducing-gpt-oss/,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,24.94
oss-120b-medium,BM25,BrowseComp-Plus,,24.58,27.02,9.73,45.70,120,Yes,https://openai.com/index/introducing-gpt-oss/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,23.73
oss-120b-medium,Qwen3-Embed-8B,BrowseComp-Plus,,38.55,43.45,9.64,41.63,120,Yes,https://openai.com/index/introducing-gpt-oss/,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,37.59
oss-120b-high,BM25,BrowseComp-Plus,,29.16,35.50,19.45,45.92,120,Yes,https://openai.com/index/introducing-gpt-oss/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,28.67
oss-120b-high,Qwen3-Embed-8B,BrowseComp-Plus,,44.10,52.63,18.35,39.32,120,Yes,https://openai.com/index/introducing-gpt-oss/,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,42.89
GPT-5,BM25,BrowseComp-Plus,,57.59,61.70,23.23,12.63,-,No,https://openai.com/index/introducing-gpt-5/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,55.90
GPT-5,Qwen3-Embed-8B,BrowseComp-Plus,,71.69,78.98,21.74,9.58,-,No,https://openai.com/index/introducing-gpt-5/,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,70.12
kimi-k2-0711-preview,BM25,BrowseComp-Plus,,14.58,15.43,14.90,69.41,1000,Yes,https://moonshotai.github.io/Kimi-K2/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 16, 2025",,13.49
kimi-k2-0711-preview,Qwen3-Embed-8B,BrowseComp-Plus,,35.42,38.38,11.22,53.51,1000,Yes,https://moonshotai.github.io/Kimi-K2/,https://arxiv.org/abs/2506.05176,"Aug 16, 2025",,34.22
DeepSeek-R1-0528,BM25,BrowseComp-Plus,,8.56,7.58,2.71,62.47,685,Yes,https://api-docs.deepseek.com/news/news250528,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 16, 2025",,8.44
DeepSeek-R1-0528,Qwen3-Embed-8B,BrowseComp-Plus,,16.39,16.32,2.72,57.66,685,Yes,https://api-docs.deepseek.com/news/news250528,https://arxiv.org/abs/2506.05176,"Aug 16, 2025",,16.02
WebSailor-32B,BM25,BrowseComp-Plus,,12.05,12.00,8.76,-,32,Yes,https://arxiv.org/pdf/2507.02592,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Sep 28, 2025",,11.20
WebSailor-32B,Qwen3-Embed-8B,BrowseComp-Plus,,27.59,29.30,8.00,-,32,Yes,https://arxiv.org/pdf/2507.02592,https://arxiv.org/abs/2506.05176,"Sep 28, 2025",,25.78
Tongyi-DeepResearch-30B-A3B,BM25,BrowseComp-Plus,,33.98,46.83,32.92,-,30,Yes,https://tongyi-agent.github.io/blog/introducing-tongyi-deep-research/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Sep 28, 2025",,33.37
Tongyi-DeepResearch-30B-A3B,Qwen3-Embed-8B,BrowseComp-Plus,,44.46,62.32,30.37,-,30,Yes,https://tongyi-agent.github.io/blog/introducing-tongyi-deep-research/,https://arxiv.org/abs/2506.05176,"Sep 28, 2025",,44.10
FrugalRAG-Qwen7B,Qwen3-Embed-8B,FrugalRAG,,20.46,23.57,7.95,73.67,7,No,https://arxiv.org/abs/2507.07634,https://arxiv.org/abs/2506.05176,"Sep 22, 2025",https://arxiv.org/abs/2507.07634,-
GLM-4.6,BM25,BrowseComp-Plus,,27.74,34.98,29.71,37.12,357,Yes,https://docs.z.ai/guides/llm/glm-4.6,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Oct 13, 2025",,-
GLM-4.6,Qwen3-Embed-8B,BrowseComp-Plus,,48.19,57.72,25.6,26.3,357,Yes,https://docs.z.ai/guides/llm/glm-4.6,https://arxiv.org/abs/2506.05176,"Oct 13, 2025",,-
Gemini 2.5 Flash,Mixedbread Search,Mixedbread,,39.88,42.78,8.3,24.61,-,No,https://openai.com/index/introducing-gpt-5/,https://www.mixedbread.com/,"Oct 22, 2025",https://www.mixedbread.com/,38.19
GPT-5,Mixedbread Search,Mixedbread,,74.1,80.29,21.22,11,-,No,https://openai.com/index/introducing-gpt-5/,https://www.mixedbread.com/,"Oct 22, 2025",https://www.mixedbread.com/,73.25
oss-120b-high,BM25,BrowseComp-Plus,,29.16,35.50,19.45,45.92,120,Yes,https://openai.com/index/introducing-gpt-oss/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,28.67
GPT-5,Mixedbread Search,Agentica,"Agentica custom scaffold: Allows agents to execute arbitrary code in a REPL. Agents had access to `search` and `get_doc_by_id` (avg. 8.83 calls this run) functions. `search` returned top 200 results instead of 5 in Standard scaffold. The submitter calculated recall using docs that the agent fetched using `get_doc_by_id`, due to the high top k used in `search`.",78.41,48.85,44.67,7.92,-,No,https://openai.com/index/introducing-gpt-5/,https://www.mixedbread.com/,"Dec 11, 2025",https://www.symbolica.ai/agentica,77.11
oss-120b-high,BM25,BrowseComp-Plus,"gpt-oss native toolset: `search`, `open` (view full doc by id, avg. 11.17 calls this run), `find` (grep in doc, avg. 4.23 calls this run)",43.61,58.38,46.51,36.82,120,Yes,https://openai.com/index/introducing-gpt-oss/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Dec 31, 2025",,
oss-120b-high,Qwen3-Embed-8B,BrowseComp-Plus,"gpt-oss native toolset: `search`, `open` (view full doc by id, avg. 11.06 calls this run), `find` (grep in doc, avg. 4.28 calls this run)",56.99,74.7,41.86,29.05,120,Yes,https://openai.com/index/introducing-gpt-oss/,https://arxiv.org/abs/2506.05176,"Dec 31, 2025",,
GLM-4.7,BM25,BrowseComp-Plus,,33.25,45.97,41.55,16.9,358,Yes,https://z.ai/blog/glm-4.7,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Dec 26, 2025",,
GLM-4.7,Qwen3-Embed-8B,BrowseComp-Plus,,50.18,68.69,35.32,13.2,358,Yes,https://z.ai/blog/glm-4.7,https://arxiv.org/abs/2506.05176,"Dec 26, 2025",,
Tongyi-DeepResearch-30B-A3B,BM25,BrowseComp-Plus,"Tongyi-DeepResearch native toolset: `search`, `visit` (view full doc by id, avg. 2.75 calls this run)",36.87,43.02,17.91,-,30,Yes,https://tongyi-agent.github.io/blog/introducing-tongyi-deep-research/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Dec 27, 2025",,
Tongyi-DeepResearch-30B-A3B,Qwen3-Embed-8B,BrowseComp-Plus,"Tongyi-DeepResearch native toolset: `search`, `visit` (view full doc by id, avg. 3.11 calls this run)",51.93,60.51,17.14,-,30,Yes,https://tongyi-agent.github.io/blog/introducing-tongyi-deep-research/,https://arxiv.org/abs/2506.05176,"Dec 27, 2025",,
GPT-5-mini,openJiuwen-deepsearch,openJiuwen,"openJiuwen custom setup: Multi-agent scaffold. Retrieved results are chunked; only most relevant chunks are returned in search, instead of truncating the full document by 512 tokens",80,54.51,6.05,18.82,-,No,https://openai.com/index/introducing-gpt-5/,https://openjiuwen.com/,"Nov 26, 2025",https://openjiuwen.com/en/,
OpenResearcher,Qwen3-Embed-8B,OpenResearcher,"OpenResearcher toolset: `search` (with lucene highlighter to filter raw contents), `open` (view full doc by id, avg. 14.46 calls this run), `find` (grep in doc, avg. 5.04 calls this run)",60.92,75.77,41,27.59,30,Yes,https://github.com/TIGER-AI-Lab/OpenResearcher,https://arxiv.org/abs/2506.05176,"Feb 12, 2026",https://github.com/TIGER-AI-Lab/OpenResearcher,
SearchAgent-Zero,Qwen3-Embed-8B,SearchAgent-Zero,,37.95,50.87,38.47,58.06,8,Yes,https://github.com/NLPJCL/SearchAgent-Zero,https://arxiv.org/abs/2506.05176,"Feb 24, 2026",https://github.com/NLPJCL/SearchAgent-Zero,
GPT-5,Reason-ModernColBERT,LightOn,"Search with get_doc: standard `search`, `get_document` (view full doc by id, avg. 3 calls this run)",87.59,81.55,13.27,6.07,-,No,https://openai.com/index/introducing-gpt-5/,https://huggingface.co/lightonai/Reason-ModernColBERT,"Mar 16, 2026",https://lighton.ai/lighton-api,
GPT-5,Reason-ModernColBERT,LightOn,,79.52,83.52,19.31,7.46,-,No,https://openai.com/index/introducing-gpt-5/,https://huggingface.co/lightonai/Reason-ModernColBERT,"Mar 16, 2026",https://lighton.ai/lighton-api,
oss-120b-high,GTE-ModernColBERT-v1,LightOn,"Search with get_doc: standard `search`, `get_document` (view full doc by id, avg. 1.76 calls this run)",58.92,57.99,13.29,32.84,120,Yes,https://openai.com/index/introducing-gpt-oss/,https://huggingface.co/lightonai/GTE-ModernColBERT-v1,"Mar 11, 2026",https://lighton.ai/lighton-api,
oss-120b-high,GTE-ModernColBERT-v1,LightOn,,55.66,66.94,17.51,31.02,120,Yes,https://openai.com/index/introducing-gpt-oss/,https://huggingface.co/lightonai/GTE-ModernColBERT-v1,"Mar 17, 2026",https://lighton.ai/lighton-api,
oss-120b-high,Reason-ModernColBERT,LightOn,"Search with get_doc: standard `search`, `get_document` (view full doc by id, avg. 1.97 calls this run)",61.2,60.84,13.87,32.45,120,Yes,https://openai.com/index/introducing-gpt-oss/,https://huggingface.co/lightonai/Reason-ModernColBERT,"Mar 11, 2026",https://lighton.ai/lighton-api,
oss-120b-high,Reason-ModernColBERT,LightOn,,59.04,68.64,18.87,30.07,120,Yes,https://openai.com/index/introducing-gpt-oss/,https://huggingface.co/lightonai/Reason-ModernColBERT,"Mar 16, 2026",https://lighton.ai/lighton-api,
Tongyi-DeepResearch-30B-A3B,AgentIR-4B,AgentIR,,66.27,78.86,25.91,-,30,Yes,https://tongyi-agent.github.io/blog/introducing-tongyi-deep-research/,https://texttron.github.io/AgentIR/,"Mar 4, 2026",https://texttron.github.io/AgentIR/,
Tongyi-DeepResearch-30B-A3B,AgentIR-4B,AgentIR,"Tongyi-DeepResearch native toolset: `search`, `visit` (view full doc by id, avg. 3.41 calls this run)",68.07,76.58,24.49,-,30,Yes,https://tongyi-agent.github.io/blog/introducing-tongyi-deep-research/,https://texttron.github.io/AgentIR/,"Mar 4, 2026",https://texttron.github.io/AgentIR/,
oss-120b-high,AgentIR-4B,AgentIR,,66.99,78.13,24.08,22.55,120,Yes,https://openai.com/index/introducing-gpt-oss/,https://texttron.github.io/AgentIR/,"Mar 4, 2026",https://texttron.github.io/AgentIR/,
GLM-4.7,AgentIR-4B,AgentIR,,64.66,79.21,29.85,29.85,358,Yes,https://z.ai/blog/glm-4.7,https://texttron.github.io/AgentIR/,"Mar 4, 2026",https://texttron.github.io/AgentIR/,
GPT-5,Mixedbread Search (v3),Mixedbread,,80,85.29,16.24,8.47,-,No,https://openai.com/index/introducing-gpt-5/,https://mixedbread.com,"Mar 19, 2026",https://mixedbread.com,
GPT-5,Mixedbread Search (v3),Mixedbread,"Search with get_doc: standard `search`, `get_document` (view full doc by id, avg. 3.20 calls this run)",90.48,83.03,11.53,3.14,-,No,https://openai.com/index/introducing-gpt-5/,https://mixedbread.com,"Mar 19, 2026",https://mixedbread.com,
OpenResearcher,Qwen3-Embed-0.6B,LRAT,"OpenResearcher toolset: `search` (with lucene highlighter to filter raw contents), `open` (view full doc by id), `find` (grep in doc)",44.34,60.48,49.54,33.21,30,Yes,https://github.com/TIGER-AI-Lab/OpenResearcher,https://arxiv.org/abs/2506.05176,"Mar 06, 2026",https://arxiv.org/abs/2604.04949,
OpenResearcher,LRAT-Qwen3-Embed-0.6B,LRAT,"OpenResearcher toolset: `search` (with lucene highlighter to filter raw contents), `open` (view full doc by id), `find` (grep in doc)",53.73,70.31,44.4,31.28,30,Yes,https://github.com/TIGER-AI-Lab/OpenResearcher,https://arxiv.org/abs/2604.04949,"Mar 06, 2026",https://arxiv.org/abs/2604.04949,
GPT-5,Hybrid Qwen2-7B + Reason-ModernColBERT,AI21,AI21 custom scaffold: multi-agent setup coordinating up to 8 agents. Agents had access to `search` and `get_doc`,95.18,93.17,209.27,2.35,-,No,https://openai.com/index/introducing-gpt-5/,https://huggingface.co/lightonai/Reason-ModernColBERT,"April 28, 2026",https://www.ai21.com/,
GLM-5.1-FP8,Hybrid BM25 + Qwen3-Embed-8B,Sail Research,"Sail Research custom scaffold: Searcher returns k truncated documents. Multi-agent swarm reports positive signal to harness, extending documents when needed",90.72,84.31,12.53,7.23,754,Yes,https://z.ai/blog/glm-5.1,https://arxiv.org/abs/2506.05176,"April 17, 2026",https://www.sailresearch.com/,
oss-20b-high,"BM25 (k1=10, b=1)",Meng et. al (University of Edinburgh),,50.60,64.67,28.73,18.48,20,Yes,https://openai.com/index/introducing-gpt-oss/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Feb 10, 2026",https://arxiv.org/pdf/2602.21456,
oss-20b-high,Passage Corpus BM25 + monoT5-3B Rerank,Meng et. al (University of Edinburgh),"Custom passage corpus: The corpus is indexed as passages instead of documents, and searcher returns passages to agent",68.92,71.62,27.57,19.82,20,Yes,https://openai.com/index/introducing-gpt-oss/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Feb 4, 2026",https://arxiv.org/pdf/2602.21456,
oss-20b-high,Passage Corpus BM25,Meng et. al (University of Edinburgh),"Custom passage corpus: The corpus is indexed as passages instead of documents, and searcher returns passages to agent",57.23,61.62,30.97,27.59,20,Yes,https://openai.com/index/introducing-gpt-oss/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Jan 31, 2026",https://arxiv.org/pdf/2602.21456,
oss-120b-high,Agent-ModernColBERT,LightOn,"Search with get_doc: standard `search`, `get_document` (view full doc by id, avg. 2.50 calls this run)",72.53,72.84,15.85,22.07,120,Yes,https://openai.com/index/introducing-gpt-oss/,https://huggingface.co/lightonai/Agent-ModernColBERT,"April 28, 2026",https://lighton.ai/lighton-api,
oss-120b-high,Agent-ModernColBERT,LightOn,,63.86,74.84,21.49,25.55,120,Yes,https://openai.com/index/introducing-gpt-oss/,https://huggingface.co/lightonai/Agent-ModernColBERT,"May 4, 2026",https://lighton.ai/lighton-api,
GPT-5,Iso-ModernColBERT,TopK,"Search with get_doc: standard `search`, `get_document` (view full doc by id, avg. 2.11 calls this run)",80.48,77.82,14.1,5.51,-,No,https://openai.com/index/introducing-gpt-5/,https://huggingface.co/topk-io/Iso-ModernColBERT,"June 11, 2026",https://www.topk.io/,
GPT-5,LightOn Console,LightOn,"Search with get_doc: standard `search`, `get_document` (view full doc by id, avg. 2.97 calls this run)",86.27,79.25,9.7,6.08,-,No,https://openai.com/index/introducing-gpt-5/,https://console.lighton.ai,"July 20, 2026",https://console.lighton.ai,
Atom-Electron-1.0,(BM25 + Qwen3-8B) + Qwen3-8B-ReRanker,Crowther,,41.08,57.26,18.28,38.45,20,Yes,https://huggingface.co/CrowtherLabs/Atom-Electron-1.0,https://arxiv.org/abs/2506.05176,"July 23, 2026",https://huggingface.co/CrowtherLabs/Atom-Electron-1.0,
